*Frequency 	VM1-abs	VM1-phase (deg)
0.1	2.18707013272029E-7	4.55785877917367E-5
0.117489755493953	2.0935011595101E-7	3.71340625965945E-5
0.138038426460288	2.0137867575158E-7	3.04028477318039E-5
0.162181009735893	1.94745920886315E-7	2.50248370210607E-5
0.190546071796325	1.89414678866716E-7	2.07166450238137E-5
0.223872113856834	1.85357305866075E-7	1.72551806465524E-5
0.263026799189538	1.82555748342336E-7	1.44647472336397E-5
0.309029543251359	1.81001741075812E-7	1.22069095926768E-5
0.363078054770101	1.80697178279427E-7	1.03725345819678E-5
0.426579518801593	1.81654688012371E-7	8.87553797348696E-6
0.501187233627272	1.83898439900639E-7	7.64797063951599E-6
0.588843655355589	1.87465226090162E-7	6.63615647846867E-6
0.691830970918937	1.92405843901781E-7	5.79765584531695E-6
0.812830516164099	1.98786818613174E-7	5.09887754566671E-6
0.954992586021436	2.06692487548309E-7	4.513200159405E-6
1.12201845430196	2.16227469950551E-7	4.0194939073977E-6
1.31825673855641	2.27519511023616E-7	3.60095728565956E-6
1.54881661891248	2.40722663719343E-7	3.24420145261819E-6
1.81970085860998	2.5602068881468E-7	2.93852942504887E-6
2.13796208950223	2.73630443421649E-7	2.67536859784768E-6
2.51188643150958	2.93804828826969E-7	2.44782384671658E-6
2.95120922666639	3.16834566917083E-7	2.25032548740784E-6
3.46736850452532	3.43047609452003E-7	2.07835183554851E-6
4.07380277804113	3.72804307361471E-7	1.92821046946971E-6
4.78630092322638	4.06485516887954E-7	1.79686571508515E-6
5.62341325190349	4.4446958667809E-7	1.68180259187311E-6
6.60693448007596	4.8709275220882E-7	1.58091958253593E-6
7.76247116628692	5.34586240332795E-7	1.49244425529528E-6
9.12010839355911	5.86983252216114E-7	1.41486705911587E-6
10.7151930523761	6.4399163909359E-7	1.34688960123239E-6
12.5892541179417	7.04836025214731E-7	1.28738446904909E-6
14.7910838816821	7.68088788271807E-7	1.23536422638825E-6
17.3780082874938	8.31532237466285E-7	1.18995764697365E-6
20.4173794466953	8.92116653981511E-7	1.15039158515882E-6
23.9883291901949	9.46082710893423E-7	1.11597715862731E-6
28.1838293126446	9.8928224239059E-7	1.08609915289353E-6
33.1131121482591	1.01765884613732E-6	1.06020776715223E-6
38.9045144994281	1.02777871261183E-6	1.03781201102823E-6
45.7088189614875	1.01728909250282E-6	1.01847423239665E-6
53.7031796370253	9.85240338910374E-7	1.00180540515601E-6
63.0957344480194	9.32278111763696E-7	9.87460930056551E-7
74.1310241300918	8.60720421471824E-7	9.75136800301511E-7
87.0963589956082	7.74476841151703E-7	9.64566057846255E-7
102.329299228075	6.78723665070547E-7	9.55515519284562E-7
120.226443461741	5.79296984749207E-7	9.47782786535478E-7
141.253754462276	4.81895420364731E-7	9.41193582450147E-7
165.958690743756	3.91301372603997E-7	9.35599470218997E-7
194.984459975805	3.10844210659482E-7	9.30876033025206E-7
229.086765276777	2.42230268080636E-7	9.26921611330124E-7
269.153480392692	1.85718320833954E-7	9.23656723800682E-7
316.227766016838	1.40509156817838E-7	9.21024338474035E-7
371.535229097173	1.0518932310385E-7	9.1899121783797E-7
436.515832240166	7.81103368599584E-8	9.17550640022411E-7
512.861383991365	5.76511740461977E-8	9.16726903495411E-7
602.559586074359	4.23653099815472E-8	9.16582159419667E-7
707.945784384139	3.10401685585322E-8	9.17226286928046E-7
831.763771102673	2.2701641212993E-8	9.18830728995228E-7
977.237220955811	1.65901371598476E-8	9.2164742459005E-7
1148.15362149688	1.21257027159389E-8	9.26034166230816E-7
1348.96288259166	8.87214499302202E-9	9.32487798730266E-7
1584.89319246112	6.50489772859132E-9	9.4168650925514E-7
1862.08713666287	4.78429363545924E-9	9.54541818119444E-7
2187.76162394955	3.53431131492371E-9	9.72259488323261E-7
2570.39578276886	2.62616187118605E-9	9.964062212063E-7
3019.95172040202	1.96586201000916E-9	1.02897583854815E-6
3548.13389233576	1.48495610183985E-9	1.0724455980348E-6
4168.69383470335	1.13365975466899E-9	1.12981236975053E-6
4897.78819368447	8.758305934173E-10	1.20460222165845E-6
5754.39937337157	6.85296374956766E-10	1.30085678892725E-6
6760.82975391982	5.43176363290654E-10	1.42311300955856E-6
7943.28234724283	4.3591987851918E-10	1.57640259567544E-6
9332.54300796993	3.53859546459473E-10	1.76629731706086E-6
10964.7819614319	2.90137064266054E-10	1.99901533334105E-6
12882.4955169314	2.39904846858262E-10	2.28158922253222E-6
15135.6124843621	1.99737243395879E-10	2.62208635641579E-6
17782.7941003893	1.67202874549476E-10	3.02987047977326E-6
20892.9613085404	1.40559904887313E-10	3.51589780145676E-6
24547.0891568503	1.18543036085202E-10	4.09304753368626E-6
28840.3150312661	1.0021699316633E-10	4.77649266762129E-6
33884.4156139203	8.4876868879606E-11	5.58412085789135E-6
39810.7170553498	7.19807040108096E-11	6.53701788048817E-6
46773.5141287199	6.11038443410207E-11	7.66002786630288E-6
54954.0873857625	5.1907834080165E-11	8.98240587404157E-6
64565.4229034657	4.4118956653569E-11	1.05385794510947E-5
75857.7575029186	3.75131783643239E-11	1.23690362042468E-5
89125.0938133745	3.19053653414064E-11	1.45213527384845E-5
104712.85480509	2.71413833438E-11	1.70513735375017E-5
123026.877081238	2.30921727534343E-11	2.00245296877646E-5
144543.977074593	1.96492034987495E-11	2.35172423301538E-5
169824.365246175	1.67209159270348E-11	2.76182542589304E-5
199526.231496888	1.42298832940275E-11	3.24295147508237E-5
234422.881531993	1.21105153667682E-11	3.80657928271423E-5
275422.870333817	1.03071772551396E-11	4.46513150260502E-5
323593.656929629	8.77263359948682E-12	5.23101345263521E-5
380189.396320562	7.46675237184995E-12	6.11444244888564E-5
446683.592150963	6.35541904521241E-12	7.11919115564167E-5
524807.460249773	5.40962341038394E-12	8.23529422779113E-5
616595.001861483	4.60468950971181E-12	9.42866027473555E-5
724435.96007499	3.91962500371791E-12	0.000106305243744408
851138.038202377	3.33657045851095E-12	0.000117347403395071
999999.999999999	2.8403321406406E-12	0.000126133978756748
 
